2019.06.15 21:16:52.315 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:16:52.315 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:16:52.318 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:16:52.318 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:16:52.318 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:16:52.318 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:16:53.319 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:53.319 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:54.320 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:54.320 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:55.320 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:55.320 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:56.321 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:56.321 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:57.322 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:57.322 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:58.324 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:58.324 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:59.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:16:59.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:00.327 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:00.327 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:01.329 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:01.329 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:01.508 INFO  Server.Server - Client excepted: Socket[addr=/192.168.43.67,port=50625,localport=5400]
2019.06.15 21:17:02.329 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:02.509 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:03.331 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:03.509 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:04.331 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:04.510 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:05.332 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:05.512 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:06.334 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:06.512 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:07.334 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:07.513 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:08.336 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:08.514 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:09.337 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:09.515 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:10.393 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:10.515 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:11.394 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:11.516 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:12.395 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:12.517 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:13.395 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:13.518 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:14.396 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:14.520 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:15.397 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:15.520 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:16.398 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:16.521 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:17.399 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:17.522 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:18.400 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:18.525 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:19.400 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:19.526 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:20.401 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:20.526 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:21.401 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:21.527 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:22.402 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:22.528 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:23.403 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:23.529 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:24.404 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:24.529 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:25.404 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:25.530 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:26.404 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:26.531 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:27.405 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:27.532 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:28.405 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:28.532 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:29.405 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:29.533 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:30.406 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:30.534 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:31.407 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:31.534 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:32.407 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:32.534 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:33.407 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:33.535 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:34.408 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:34.535 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:35.409 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:35.536 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:36.409 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:36.537 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:37.410 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:37.537 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:38.410 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:38.538 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:39.411 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:39.538 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:40.417 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:40.539 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:41.418 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:41.540 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:42.418 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:42.541 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:43.419 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:43.542 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:44.419 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:44.542 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:45.420 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:45.543 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:46.421 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:46.545 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:47.421 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:47.545 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:48.422 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:48.546 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:49.422 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:49.547 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:50.423 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:50.547 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:51.424 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:51.547 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:52.425 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:52.548 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:53.426 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:17:53.548 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:41.571 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:41.694 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:42.572 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:42.702 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:43.572 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:43.703 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:44.573 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:44.704 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:45.574 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:45.705 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:46.574 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:46.707 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:47.575 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:47.707 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:48.576 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:48.707 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:49.577 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:49.708 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:50.578 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:50.709 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:51.578 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:51.710 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:52.579 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:52.711 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:56.719 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:18:56.719 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:18:56.722 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:18:56.722 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:18:56.722 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:18:56.722 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:18:57.723 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:57.723 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:18:58.724 DEBUG Server.Server - Socket Timeout - No clients pending!
